OUTPUT:
Godzilla, ATT:200, DEF:220, HP:500, LVL:0
[1] Submarine, ATT:105, DEF:65, HP:66, LVL:0
[2] Bomber, ATT:120, DEF:100, HP:51, LVL:2
[3] Infantry, ATT:45, DEF:0, HP:90, LVL:0
[4] Submarine, ATT:105, DEF:65, HP:79, LVL:6
[5] Submarine, ATT:105, DEF:65, HP:74, LVL:5
[6] Bomber, ATT:120, DEF:100, HP:59, LVL:9
[7] Bomber, ATT:120, DEF:100, HP:96, LVL:9
[8] Artillery, ATT:75, DEF:70, HP:78, LVL:4
[9] Bomber, ATT:120, DEF:100, HP:75, LVL:10
[10] Submarine, ATT:105, DEF:65, HP:88, LVL:0
[11] Helicopter, ATT:55, DEF:40, HP:94, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:50, LVL:5
[13] Artillery, ATT:75, DEF:70, HP:89, LVL:9
[14] Helicopter, ATT:55, DEF:40, HP:70, LVL:2
[15] Helicopter, ATT:55, DEF:40, HP:93, LVL:3
[16] Fighter, ATT:110, DEF:110, HP:84, LVL:4
[17] Cruiser, ATT:100, DEF:75, HP:96, LVL:10
[18] Submarine, ATT:105, DEF:65, HP:52, LVL:2
[19] Fighter, ATT:110, DEF:110, HP:67, LVL:3
[20] Bomber, ATT:120, DEF:100, HP:78, LVL:5
[21] Fighter, ATT:110, DEF:110, HP:89, LVL:10
[22] Cruiser, ATT:100, DEF:75, HP:91, LVL:4
[23] Artillery, ATT:75, DEF:70, HP:99, LVL:6

Godzilla => 50 => [12] Cruiser
[0] Submarine => 25 => Godzilla
[1] Submarine => 10 => Godzilla
[2] Bomber => 21 => Godzilla
[3] Infantry => 15 => Godzilla
[4] Submarine => 17 => Godzilla
[5] Submarine => 25 => Godzilla
[6] Bomber => 27 => Godzilla
[7] Bomber => 36 => Godzilla
[8] Artillery => 23 => Godzilla
[9] Bomber => 28 => Godzilla
[10] Submarine => 13 => Godzilla
[11] Helicopter => 24 => Godzilla
[13] Artillery => 28 => Godzilla
[14] Helicopter => 13 => Godzilla
[15] Helicopter => 15 => Godzilla
[16] Fighter => 23 => Godzilla
[17] Cruiser => 23 => Godzilla
[18] Submarine => 17 => Godzilla
[19] Fighter => 21 => Godzilla
[20] Bomber => 22 => Godzilla
[21] Fighter => 23 => Godzilla
[22] Cruiser => 25 => Godzilla
[23] Artillery => 26 => Godzilla

Godzilla, ATT:200, DEF:220, HP:0, LVL:0
[0] Submarine, ATT:105, DEF:65, HP:57, LVL:7
[1] Submarine, ATT:105, DEF:65, HP:66, LVL:0
[2] Bomber, ATT:120, DEF:100, HP:51, LVL:2
[3] Infantry, ATT:45, DEF:0, HP:90, LVL:0
[4] Submarine, ATT:105, DEF:65, HP:79, LVL:6
[5] Submarine, ATT:105, DEF:65, HP:74, LVL:5
[6] Bomber, ATT:120, DEF:100, HP:59, LVL:9
[7] Bomber, ATT:120, DEF:100, HP:96, LVL:9
[8] Artillery, ATT:75, DEF:70, HP:78, LVL:4
[9] Bomber, ATT:120, DEF:100, HP:75, LVL:10
[10] Submarine, ATT:105, DEF:65, HP:88, LVL:0
[11] Helicopter, ATT:55, DEF:40, HP:94, LVL:7
[12] Cruiser, ATT:100, DEF:75, HP:0, LVL:5
[13] Artillery, ATT:75, DEF:70, HP:89, LVL:9
[14] Helicopter, ATT:55, DEF:40, HP:70, LVL:2
[15] Helicopter, ATT:55, DEF:40, HP:93, LVL:3
[16] Fighter, ATT:110, DEF:110, HP:84, LVL:4
[17] Cruiser, ATT:100, DEF:75, HP:96, LVL:10
[18] Submarine, ATT:105, DEF:65, HP:52, LVL:2
[19] Fighter, ATT:110, DEF:110, HP:67, LVL:3
[20] Bomber, ATT:120, DEF:100, HP:78, LVL:5
[21] Fighter, ATT:110, DEF:110, HP:89, LVL:10
[22] Cruiser, ATT:100, DEF:75, HP:91, LVL:4
[23] Artillery, ATT:75, DEF:70, HP:99, LVL:6

Winner: Enemy
Total monster DMG: 50
Total enemies DMG: 500
